churned_at,pledge_usd,reason_financial,reason_overcharged,reason_got_benefit,reason_amount_limit,reason_low_activity,reason_missing_rewards,reason_hard_access,reason_disliked_rewards,reason_patreon_platform,reason_tax,reason_other,feedback_text
3/8/2026,5,1,0,0,0,0,0,0,0,0,0,0,
9/2/2024,5,1,0,0,0,0,0,0,0,0,0,0,
10/16/2024,95,0,0,0,1,0,0,0,0,0,0,0,
10/19/2024,5,0,0,0,0,0,0,0,0,0,0,1,
10/20/2024,5,1,0,0,0,0,0,0,0,0,0,0,
12/3/2024,5,0,0,0,0,0,0,0,0,0,0,1,
12/4/2024,5,1,0,0,0,0,0,0,0,0,0,0,
12/28/2024,5,1,0,0,0,0,0,0,0,0,0,0,
1/1/2025,5,1,0,0,0,0,0,0,0,0,0,0,
1/4/2025,5,1,0,0,0,0,0,0,0,0,0,0,
2/2/2025,5,1,0,0,0,0,0,0,0,0,0,0,
2/5/2025,5,1,0,0,0,0,0,0,0,0,0,0,
2/17/2025,5,1,0,0,0,0,0,0,0,0,0,0,
2/20/2025,5,0,0,0,0,0,0,0,0,0,0,1,
4/22/2025,263,0,0,0,1,0,0,0,0,0,0,0,
4/18/2025,5,1,0,0,0,0,0,0,0,0,0,0,
5/3/2025,5,0,0,0,0,0,0,0,1,0,0,0,
5/4/2025,5,1,0,0,0,0,0,0,0,0,0,0,
5/31/2025,5,0,0,0,1,0,0,0,0,0,0,0,
6/6/2025,5,1,0,0,0,0,0,0,0,0,0,0,
6/13/2025,5,0,0,1,0,0,0,0,0,0,0,0,
8/13/2025,5,0,0,1,0,0,0,0,0,0,0,0,
8/26/2025,279,1,0,0,0,0,0,0,0,0,0,0,I will be back at a later date! Keep producing great animations
9/1/2025,5,0,0,0,0,0,0,0,0,0,0,1,
9/27/2025,1557.77,0,0,0,0,0,0,0,0,0,0,1,Commision change
10/7/2025,5,0,0,1,0,0,0,0,0,0,0,0,
10/9/2025,5,1,0,0,0,0,0,0,0,0,0,0,
10/22/2025,5,1,0,0,0,0,0,0,0,0,0,0,
11/12/2025,5,1,0,0,0,0,0,0,0,0,0,0,
11/17/2025,5,0,0,0,0,0,0,0,0,0,0,1,
12/8/2025,5,1,0,0,0,0,0,0,0,0,0,0,
12/23/2025,5,0,0,1,0,0,0,0,0,0,0,0,
1/17/2026,5,0,0,0,1,0,0,0,0,0,0,0,
1/17/2026,5,0,0,0,0,0,0,0,0,1,0,0,
1/24/2026,5,0,0,1,0,0,0,0,0,0,0,0,
3/3/2026,5,1,0,0,0,0,0,0,0,0,0,0,
3/11/2026,5,1,0,0,0,0,0,0,0,0,0,0,
3/15/2026,5,0,0,0,0,0,1,0,0,0,0,0,
3/27/2026,5,0,0,1,0,0,0,0,0,0,0,0,
4/9/2026,5,0,0,0,0,0,0,0,0,0,0,1,Going to be gone so canceling some subscriptions until I'm back
4/12/2026,5,1,0,0,0,0,0,0,0,0,0,0,
4/13/2026,5,0,0,0,0,1,0,0,0,0,0,0,
