patron_id,patron_status,is_active,is_paying,is_free_member,tier,pledge_usd,lifetime_usd,charge_frequency,subscription_source,started_at,cohort_month,last_charge_at,last_charge_status,access_expires_at,next_charge_at,last_updated_at,tenure_days
PATRON_0001,,FALSE,FALSE,Yes,Free,0,0,,Patreon,8/20/2024 21:29,2024-08,,,,,11/4/2025 6:42,610
PATRON_0002,,FALSE,FALSE,Yes,Free,0,0,,Patreon,5/7/2024 20:14,2024-05,,,,,11/2/2025 12:35,715
PATRON_0003,Former patron,FALSE,FALSE,Yes,Free,0,10,monthly,Patreon,7/19/2025 5:43,2025-07,8/20/2025 0:21,Paid,9/20/2025,9/20/2025,10/31/2025 6:01,104
PATRON_0004,Active patron,TRUE,TRUE,No,Full Rewards,5,21.83,monthly,Patreon,1/8/2026 16:19,2026-01,4/8/2026 0:28,Paid,,5/8/2026,4/8/2026 12:49,104
PATRON_0005,Active patron,TRUE,TRUE,No,Full Rewards,5,45,monthly,Patreon,2/24/2025 17:13,2025-02,4/13/2026 12:40,Paid,,5/14/2026,4/13/2026 14:55,422
PATRON_0006,Active patron,TRUE,TRUE,No,Full Rewards,5,18,monthly,Patreon,5/4/2025 15:09,2025-05,4/14/2026 7:26,Paid,5/15/2026,5/15/2026,4/14/2026 9:41,353
PATRON_0007,Former patron,FALSE,FALSE,Yes,Free,0,25,monthly,Patreon,10/5/2024 1:32,2024-10,11/25/2025 14:10,Paid,12/26/2025,12/26/2025,12/26/2025 0:34,446
PATRON_0008,Former patron,FALSE,TRUE,No,Full Rewards,5,5,monthly,Patreon,10/7/2024 20:19,2024-10,10/7/2024 20:19,Paid,11/8/2024,11/8/2024,10/30/2025 9:37,387
PATRON_0009,Former patron,FALSE,FALSE,Yes,Free,0,30,monthly,Patreon,10/6/2024 18:13,2024-10,3/10/2025 0:53,Paid,4/10/2025,4/10/2025,3/11/2026 0:20,520
PATRON_0010,Active patron,TRUE,TRUE,No,Full Rewards,5,15,monthly,Patreon,4/22/2024 2:48,2024-04,4/4/2026 0:38,Paid,,5/4/2026,4/4/2026 7:20,730
PATRON_0011,Former patron,FALSE,TRUE,No,Full Rewards,5,3,monthly,Patreon,5/3/2025 21:32,2025-05,5/3/2025 21:32,Paid,6/4/2025,6/4/2025,10/31/2025 6:01,180
PATRON_0012,Former patron,FALSE,FALSE,Yes,Free,0,225,monthly,Patreon,8/21/2024 21:51,2024-08,1/22/2025 0:44,Paid,2/22/2025,2/22/2025,11/5/2025 11:41,440
PATRON_0013,,FALSE,FALSE,Yes,Free,0,0,,Patreon,11/2/2024 16:02,2024-11,,,,,10/30/2025 9:37,536
PATRON_0014,,FALSE,FALSE,Yes,Free,0,0,,Patreon,6/24/2024 15:58,2024-06,,,,,11/5/2025 11:41,667
PATRON_0015,Former patron,FALSE,FALSE,Yes,Free,0,30,monthly,Patreon,8/3/2024 13:12,2024-08,1/4/2025 0:43,Paid,2/4/2025,2/4/2025,10/31/2025 6:01,453
PATRON_0016,Former patron,FALSE,FALSE,Yes,Free,0,5.25,monthly,Patreon,1/14/2026 17:19,2026-01,1/14/2026 17:19,Paid,2/14/2026,2/14/2026,2/14/2026 0:55,30
PATRON_0017,Active patron,TRUE,TRUE,No,VIP Rewards,10,75,monthly,Patreon,11/2/2024 4:33,2024-11,4/15/2026 0:32,Paid,,5/15/2026,4/15/2026 2:40,536
